All,County,Short,District,State
"Midland County, Michigan",Midland County,Midland,County,Michigan
"Missaukee County, Michigan",Missaukee County,Missaukee,County,Michigan
"Monroe County, Michigan",Monroe County,Monroe,County,Michigan
"Montcalm County, Michigan",Montcalm County,Montcalm,County,Michigan
"Montmorency County, Michigan",Montmorency County,Montmorency,County,Michigan
"Muskegon County, Michigan",Muskegon County,Muskegon,County,Michigan
"Newaygo County, Michigan",Newaygo County,Newaygo,County,Michigan
"Oakland County, Michigan",Oakland County,Oakland,County,Michigan
"Oceana County, Michigan",Oceana County,Oceana,County,Michigan
"Ogemaw County, Michigan",Ogemaw County,Ogemaw,County,Michigan
"Ontonagon County, Michigan",Ontonagon County,Ontonagon,County,Michigan
"Osceola County, Michigan",Osceola County,Osceola,County,Michigan
"Oscoda County, Michigan",Oscoda County,Oscoda,County,Michigan
"Otsego County, Michigan",Otsego County,Otsego,County,Michigan
"Ottawa County, Michigan",Ottawa County,Ottawa,County,Michigan
"Presque Isle County, Michigan",Presque Isle County,Presque Isle,County,Michigan
"Roscommon County, Michigan",Roscommon County,Roscommon,County,Michigan
"Saginaw County, Michigan",Saginaw County,Saginaw,County,Michigan
"St. Clair County, Michigan",St. Clair County,St. Clair,County,Michigan
"St. Joseph County, Michigan",St. Joseph County,St. Joseph,County,Michigan
"Sanilac County, Michigan",Sanilac County,Sanilac,County,Michigan
"Schoolcraft County, Michigan",Schoolcraft County,Schoolcraft,County,Michigan
"Shiawassee County, Michigan",Shiawassee County,Shiawassee,County,Michigan
"Tuscola County, Michigan",Tuscola County,Tuscola,County,Michigan
"Van Buren County, Michigan",Van Buren County,Van Buren,County,Michigan
"Washtenaw County, Michigan",Washtenaw County,Washtenaw,County,Michigan
"Wayne County, Michigan",Wayne County,Wayne,County,Michigan
"Wexford County, Michigan",Wexford County,Wexford,County,Michigan
"Aitkin County, Minnesota",Aitkin County,Aitkin,County,Minnesota
"Anoka County, Minnesota",Anoka County,Anoka,County,Minnesota
"Becker County, Minnesota",Becker County,Becker,County,Minnesota
"Beltrami County, Minnesota",Beltrami County,Beltrami,County,Minnesota
"Benton County, Minnesota",Benton County,Benton,County,Minnesota
"Big Stone County, Minnesota",Big Stone County,Big Stone,County,Minnesota
"Blue Earth County, Minnesota",Blue Earth County,Blue Earth,County,Minnesota
"Brown County, Minnesota",Brown County,Brown,County,Minnesota
"Carlton County, Minnesota",Carlton County,Carlton,County,Minnesota
"Carver County, Minnesota",Carver County,Carver,County,Minnesota
"Cass County, Minnesota",Cass County,Cass,County,Minnesota
"Chippewa County, Minnesota",Chippewa County,Chippewa,County,Minnesota
"Chisago County, Minnesota",Chisago County,Chisago,County,Minnesota
"Clay County, Minnesota",Clay County,Clay,County,Minnesota
"Clearwater County, Minnesota",Clearwater County,Clearwater,County,Minnesota
"Cook County, Minnesota",Cook County,Cook,County,Minnesota
"Cottonwood County, Minnesota",Cottonwood County,Cottonwood,County,Minnesota
"Crow Wing County, Minnesota",Crow Wing County,Crow Wing,County,Minnesota
"Dakota County, Minnesota",Dakota County,Dakota,County,Minnesota
"Dodge County, Minnesota",Dodge County,Dodge,County,Minnesota
"Douglas County, Minnesota",Douglas County,Douglas,County,Minnesota
"Faribault County, Minnesota",Faribault County,Faribault,County,Minnesota
"Fillmore County, Minnesota",Fillmore County,Fillmore,County,Minnesota
"Freeborn County, Minnesota",Freeborn County,Freeborn,County,Minnesota
"Goodhue County, Minnesota",Goodhue County,Goodhue,County,Minnesota
"Grant County, Minnesota",Grant County,Grant,County,Minnesota
"Hennepin County, Minnesota",Hennepin County,Hennepin,County,Minnesota
"Houston County, Minnesota",Houston County,Houston,County,Minnesota
"Hubbard County, Minnesota",Hubbard County,Hubbard,County,Minnesota
"Isanti County, Minnesota",Isanti County,Isanti,County,Minnesota
"Itasca County, Minnesota",Itasca County,Itasca,County,Minnesota
"Jackson County, Minnesota",Jackson County,Jackson,County,Minnesota
"Kanabec County, Minnesota",Kanabec County,Kanabec,County,Minnesota
"Kandiyohi County, Minnesota",Kandiyohi County,Kandiyohi,County,Minnesota
"Kittson County, Minnesota",Kittson County,Kittson,County,Minnesota
"Koochiching County, Minnesota",Koochiching County,Koochiching,County,Minnesota
"Lac qui Parle County, Minnesota",Lac qui Parle County,Lac qui Parle,County,Minnesota
"Lake County, Minnesota",Lake County,Lake,County,Minnesota
"Lake of the Woods County, Minnesota",Lake of the Woods County,Lake of the Woods,County,Minnesota
"Le Sueur County, Minnesota",Le Sueur County,Le Sueur,County,Minnesota
"Lincoln County, Minnesota",Lincoln County,Lincoln,County,Minnesota
"Lyon County, Minnesota",Lyon County,Lyon,County,Minnesota
"McLeod County, Minnesota",McLeod County,McLeod,County,Minnesota
"Mahnomen County, Minnesota",Mahnomen County,Mahnomen,County,Minnesota
"Marshall County, Minnesota",Marshall County,Marshall,County,Minnesota
"Martin County, Minnesota",Martin County,Martin,County,Minnesota
"Meeker County, Minnesota",Meeker County,Meeker,County,Minnesota
"Mille Lacs County, Minnesota",Mille Lacs County,Mille Lacs,County,Minnesota
"Morrison County, Minnesota",Morrison County,Morrison,County,Minnesota
"Mower County, Minnesota",Mower County,Mower,County,Minnesota
"Murray County, Minnesota",Murray County,Murray,County,Minnesota
"Nicollet County, Minnesota",Nicollet County,Nicollet,County,Minnesota
"Nobles County, Minnesota",Nobles County,Nobles,County,Minnesota
"Norman County, Minnesota",Norman County,Norman,County,Minnesota
"Olmsted County, Minnesota",Olmsted County,Olmsted,County,Minnesota
"Otter Tail County, Minnesota",Otter Tail County,Otter Tail,County,Minnesota
"Pennington County, Minnesota",Pennington County,Pennington,County,Minnesota
"Pine County, Minnesota",Pine County,Pine,County,Minnesota
"Pipestone County, Minnesota",Pipestone County,Pipestone,County,Minnesota
"Polk County, Minnesota",Polk County,Polk,County,Minnesota
"Pope County, Minnesota",Pope County,Pope,County,Minnesota
"Ramsey County, Minnesota",Ramsey County,Ramsey,County,Minnesota
"Red Lake County, Minnesota",Red Lake County,Red Lake,County,Minnesota
"Redwood County, Minnesota",Redwood County,Redwood,County,Minnesota
"Renville County, Minnesota",Renville County,Renville,County,Minnesota
"Rice County, Minnesota",Rice County,Rice,County,Minnesota
"Rock County, Minnesota",Rock County,Rock,County,Minnesota
"Roseau County, Minnesota",Roseau County,Roseau,County,Minnesota
"St. Louis County, Minnesota",St. Louis County,St. Louis,County,Minnesota
"Scott County, Minnesota",Scott County,Scott,County,Minnesota
"Sherburne County, Minnesota",Sherburne County,Sherburne,County,Minnesota
"Sibley County, Minnesota",Sibley County,Sibley,County,Minnesota
"Stearns County, Minnesota",Stearns County,Stearns,County,Minnesota
"Steele County, Minnesota",Steele County,Steele,County,Minnesota
"Stevens County, Minnesota",Stevens County,Stevens,County,Minnesota
"Swift County, Minnesota",Swift County,Swift,County,Minnesota
"Todd County, Minnesota",Todd County,Todd,County,Minnesota
"Traverse County, Minnesota",Traverse County,Traverse,County,Minnesota
"Wabasha County, Minnesota",Wabasha County,Wabasha,County,Minnesota
"Wadena County, Minnesota",Wadena County,Wadena,County,Minnesota
"Waseca County, Minnesota",Waseca County,Waseca,County,Minnesota
"Washington County, Minnesota",Washington County,Washington,County,Minnesota
"Watonwan County, Minnesota",Watonwan County,Watonwan,County,Minnesota
"Wilkin County, Minnesota",Wilkin County,Wilkin,County,Minnesota
"Winona County, Minnesota",Winona County,Winona,County,Minnesota
"Wright County, Minnesota",Wright County,Wright,County,Minnesota
"Yellow Medicine County, Minnesota",Yellow Medicine County,Yellow Medicine,County,Minnesota
"Adams County, Mississippi",Adams County,Adams,County,Mississippi
"Alcorn County, Mississippi",Alcorn County,Alcorn,County,Mississippi
"Amite County, Mississippi",Amite County,Amite,County,Mississippi
"Attala County, Mississippi",Attala County,Attala,County,Mississippi
"Benton County, Mississippi",Benton County,Benton,County,Mississippi
"Bolivar County, Mississippi",Bolivar County,Bolivar,County,Mississippi
"Calhoun County, Mississippi",Calhoun County,Calhoun,County,Mississippi
"Carroll County, Mississippi",Carroll County,Carroll,County,Mississippi
"Chickasaw County, Mississippi",Chickasaw County,Chickasaw,County,Mississippi
"Choctaw County, Mississippi",Choctaw County,Choctaw,County,Mississippi
"Claiborne County, Mississippi",Claiborne County,Claiborne,County,Mississippi
"Clarke County, Mississippi",Clarke County,Clarke,County,Mississippi
"Clay County, Mississippi",Clay County,Clay,County,Mississippi
"Coahoma County, Mississippi",Coahoma County,Coahoma,County,Mississippi
"Copiah County, Mississippi",Copiah County,Copiah,County,Mississippi
"Covington County, Mississippi",Covington County,Covington,County,Mississippi
"DeSoto County, Mississippi",DeSoto County,DeSoto,County,Mississippi
"Forrest County, Mississippi",Forrest County,Forrest,County,Mississippi
"Franklin County, Mississippi",Franklin County,Franklin,County,Mississippi
"George County, Mississippi",George County,George,County,Mississippi
"Greene County, Mississippi",Greene County,Greene,County,Mississippi
"Grenada County, Mississippi",Grenada County,Grenada,County,Mississippi
"Hancock County, Mississippi",Hancock County,Hancock,County,Mississippi
"Harrison County, Mississippi",Harrison County,Harrison,County,Mississippi
"Hinds County, Mississippi",Hinds County,Hinds,County,Mississippi
"Holmes County, Mississippi",Holmes County,Holmes,County,Mississippi
"Humphreys County, Mississippi",Humphreys County,Humphreys,County,Mississippi
"Issaquena County, Mississippi",Issaquena County,Issaquena,County,Mississippi
"Itawamba County, Mississippi",Itawamba County,Itawamba,County,Mississippi
"Jackson County, Mississippi",Jackson County,Jackson,County,Mississippi
"Jasper County, Mississippi",Jasper County,Jasper,County,Mississippi
"Jefferson County, Mississippi",Jefferson County,Jefferson,County,Mississippi
"Jefferson Davis County, Mississippi",Jefferson Davis County,Jefferson Davis,County,Mississippi
"Jones County, Mississippi",Jones County,Jones,County,Mississippi
"Kemper County, Mississippi",Kemper County,Kemper,County,Mississippi
"Lafayette County, Mississippi",Lafayette County,Lafayette,County,Mississippi
"Lamar County, Mississippi",Lamar County,Lamar,County,Mississippi
"Lauderdale County, Mississippi",Lauderdale County,Lauderdale,County,Mississippi
"Lawrence County, Mississippi",Lawrence County,Lawrence,County,Mississippi
"Leake County, Mississippi",Leake County,Leake,County,Mississippi
"Lee County, Mississippi",Lee County,Lee,County,Mississippi
"Leflore County, Mississippi",Leflore County,Leflore,County,Mississippi
"Lincoln County, Mississippi",Lincoln County,Lincoln,County,Mississippi
"Lowndes County, Mississippi",Lowndes County,Lowndes,County,Mississippi
"Madison County, Mississippi",Madison County,Madison,County,Mississippi
"Marion County, Mississippi",Marion County,Marion,County,Mississippi
"Marshall County, Mississippi",Marshall County,Marshall,County,Mississippi
"Monroe County, Mississippi",Monroe County,Monroe,County,Mississippi
"Montgomery County, Mississippi",Montgomery County,Montgomery,County,Mississippi
"Neshoba County, Mississippi",Neshoba County,Neshoba,County,Mississippi
"Newton County, Mississippi",Newton County,Newton,County,Mississippi
"Noxubee County, Mississippi",Noxubee County,Noxubee,County,Mississippi
"Oktibbeha County, Mississippi",Oktibbeha County,Oktibbeha,County,Mississippi
"Panola County, Mississippi",Panola County,Panola,County,Mississippi
"Pearl River County, Mississippi",Pearl River County,Pearl River,County,Mississippi
"Perry County, Mississippi",Perry County,Perry,County,Mississippi
"Pike County, Mississippi",Pike County,Pike,County,Mississippi
"Pontotoc County, Mississippi",Pontotoc County,Pontotoc,County,Mississippi
"Prentiss County, Mississippi",Prentiss County,Prentiss,County,Mississippi
"Quitman County, Mississippi",Quitman County,Quitman,County,Mississippi
"Rankin County, Mississippi",Rankin County,Rankin,County,Mississippi
"Scott County, Mississippi",Scott County,Scott,County,Mississippi
"Sharkey County, Mississippi",Sharkey County,Sharkey,County,Mississippi
"Simpson County, Mississippi",Simpson County,Simpson,County,Mississippi
"Smith County, Mississippi",Smith County,Smith,County,Mississippi
"Stone County, Mississippi",Stone County,Stone,County,Mississippi
"Sunflower County, Mississippi",Sunflower County,Sunflower,County,Mississippi
"Tallahatchie County, Mississippi",Tallahatchie County,Tallahatchie,County,Mississippi
"Tate County, Mississippi",Tate County,Tate,County,Mississippi
"Tippah County, Mississippi",Tippah County,Tippah,County,Mississippi
"Tishomingo County, Mississippi",Tishomingo County,Tishomingo,County,Mississippi
"Tunica County, Mississippi",Tunica County,Tunica,County,Mississippi
"Union County, Mississippi",Union County,Union,County,Mississippi
"Walthall County, Mississippi",Walthall County,Walthall,County,Mississippi
"Warren County, Mississippi",Warren County,Warren,County,Mississippi
"Washington County, Mississippi",Washington County,Washington,County,Mississippi
"Wayne County, Mississippi",Wayne County,Wayne,County,Mississippi
"Webster County, Mississippi",Webster County,Webster,County,Mississippi
"Wilkinson County, Mississippi",Wilkinson County,Wilkinson,County,Mississippi
"Winston County, Mississippi",Winston County,Winston,County,Mississippi
"Yalobusha County, Mississippi",Yalobusha County,Yalobusha,County,Mississippi
"Yazoo County, Mississippi",Yazoo County,Yazoo,County,Mississippi
"Adair County, Missouri",Adair County,Adair,County,Missouri
"Andrew County, Missouri",Andrew County,Andrew,County,Missouri
"Atchison County, Missouri",Atchison County,Atchison,County,Missouri
"Audrain County, Missouri",Audrain County,Audrain,County,Missouri
"Barry County, Missouri",Barry County,Barry,County,Missouri
"Barton County, Missouri",Barton County,Barton,County,Missouri
"Bates County, Missouri",Bates County,Bates,County,Missouri
"Benton County, Missouri",Benton County,Benton,County,Missouri
"Bollinger County, Missouri",Bollinger County,Bollinger,County,Missouri
"Boone County, Missouri",Boone County,Boone,County,Missouri
"Buchanan County, Missouri",Buchanan County,Buchanan,County,Missouri
"Butler County, Missouri",Butler County,Butler,County,Missouri
"Caldwell County, Missouri",Caldwell County,Caldwell,County,Missouri
"Callaway County, Missouri",Callaway County,Callaway,County,Missouri
"Camden County, Missouri",Camden County,Camden,County,Missouri
"Cape Girardeau County, Missouri",Cape Girardeau County,Cape Girardeau,County,Missouri
"Carroll County, Missouri",Carroll County,Carroll,County,Missouri
"Carter County, Missouri",Carter County,Carter,County,Missouri
"Cass County, Missouri",Cass County,Cass,County,Missouri
"Cedar County, Missouri",Cedar County,Cedar,County,Missouri
"Chariton County, Missouri",Chariton County,Chariton,County,Missouri
"Christian County, Missouri",Christian County,Christian,County,Missouri
"Clark County, Missouri",Clark County,Clark,County,Missouri
"Clay County, Missouri",Clay County,Clay,County,Missouri
"Clinton County, Missouri",Clinton County,Clinton,County,Missouri
"Cole County, Missouri",Cole County,Cole,County,Missouri
"Cooper County, Missouri",Cooper County,Cooper,County,Missouri
"Crawford County, Missouri",Crawford County,Crawford,County,Missouri
"Dade County, Missouri",Dade County,Dade,County,Missouri
"Dallas County, Missouri",Dallas County,Dallas,County,Missouri
"Daviess County, Missouri",Daviess County,Daviess,County,Missouri
"DeKalb County, Missouri",DeKalb County,DeKalb,County,Missouri
"Dent County, Missouri",Dent County,Dent,County,Missouri
"Douglas County, Missouri",Douglas County,Douglas,County,Missouri
"Dunklin County, Missouri",Dunklin County,Dunklin,County,Missouri
"Franklin County, Missouri",Franklin County,Franklin,County,Missouri
"Gasconade County, Missouri",Gasconade County,Gasconade,County,Missouri
"Gentry County, Missouri",Gentry County,Gentry,County,Missouri
"Greene County, Missouri",Greene County,Greene,County,Missouri
"Grundy County, Missouri",Grundy County,Grundy,County,Missouri
"Harrison County, Missouri",Harrison County,Harrison,County,Missouri
"Henry County, Missouri",Henry County,Henry,County,Missouri
"Hickory County, Missouri",Hickory County,Hickory,County,Missouri
"Holt County, Missouri",Holt County,Holt,County,Missouri
"Howard County, Missouri",Howard County,Howard,County,Missouri
"Howell County, Missouri",Howell County,Howell,County,Missouri
